dimension,bucket,population_count,error_count,pct_of_errors,mean,p25,p50,p75,overall_rate,ratio_vs_overall,flagged,rate_in_bucket
transaction_amt (errors),summary_stats,1393,,,175.52173725771718,46.725,87.0,206.0,,,False,
transaction_amt (population),summary_stats,3042,,,163.34897698882313,39.0,77.0,161.0,,,False,
transaction_amt_quartile,Q4,960,508,0.3646805455850682,,,,,0.457922419460881,1.1555814788226848,False,0.5291666666666667
transaction_amt_quartile,Q1,819,332,0.2383345297918162,,,,,0.457922419460881,0.8852425392267459,False,0.4053724053724054
transaction_amt_quartile,Q3,693,284,0.2038765254845657,,,,,0.457922419460881,0.8949385144647168,False,0.4098124098124098
transaction_amt_quartile,Q2,570,269,0.19310839913854988,,,,,0.457922419460881,1.0305890354025768,False,0.47192982456140353
product_cd,W,1485,981,0.7042354630294329,,,,,0.457922419460881,1.442615675781505,False,0.6606060606060606
product_cd,C,1150,299,0.21464465183058148,,,,,0.457922419460881,0.5677817659727208,False,0.26
product_cd,R,160,37,0.02656137832017229,,,,,0.457922419460881,0.5049982053122757,False,0.23125
product_cd,H,140,44,0.03158650394831299,,,,,0.457922419460881,0.6863296072197723,False,0.3142857142857143
product_cd,S,107,32,0.02297200287150036,,,,,0.457922419460881,0.6530918947205989,False,0.29906542056074764
card4,visa,1984,901,0.6468054558506819,,,,,0.457922419460881,0.9917248975291203,False,0.45413306451612906
card4,mastercard,907,428,0.3072505384063173,,,,,0.457922419460881,1.0304918829459946,False,0.4718853362734289
card4,discover,122,53,0.03804737975592247,,,,,0.457922419460881,0.9486895837501323,False,0.4344262295081967
card4,american express,29,11,0.007896625987078248,,,,,0.457922419460881,0.8283288362997251,False,0.3793103448275862
card6,debit,1624,843,0.6051687006460876,,,,,0.457922419460881,1.1335733912348511,False,0.5190886699507389
card6,credit,1418,550,0.3948312993539124,,,,,0.457922419460881,0.8470217296435836,False,0.38787023977433005
p_emaildomain,gmail.com,1491,645,0.4630294328786791,,,,,0.457922419460881,0.9446918409235022,False,0.43259557344064387
p_emaildomain,,417,204,0.1464465183058148,,,,,0.457922419460881,1.0683220831805482,False,0.4892086330935252
p_emaildomain,yahoo.com,302,172,0.12347451543431442,,,,,0.457922419460881,1.243739986593326,False,0.5695364238410596
p_emaildomain,hotmail.com,268,101,0.07250538406317301,,,,,0.457922419460881,0.8229902176125831,False,0.376865671641791
p_emaildomain,aol.com,128,62,0.04450825556353195,,,,,0.457922419460881,1.0577665111270638,False,0.484375
p_emaildomain,anonymous.com,100,58,0.0416367552045944,,,,,0.457922419460881,1.2665900933237615,False,0.58
p_emaildomain,comcast.net,85,23,0.016511127063890883,,,,,0.457922419460881,0.5909041003336007,False,0.27058823529411763
p_emaildomain,outlook.com,74,15,0.010768126346015794,,,,,0.457922419460881,0.4426573019537844,False,0.20270270270270271
p_emaildomain,icloud.com,38,26,0.01866475233309404,,,,,0.457922419460881,1.4941625420334756,False,0.6842105263157895
p_emaildomain,mail.com,17,7,0.005025125628140704,,,,,0.457922419460881,0.899201891812001,False,0.4117647058823529
time_of_day,18-24,1012,491,0.35247666905958364,,,,,0.457922419460881,1.0595197898016337,False,0.4851778656126482
time_of_day,12-18,873,446,0.32017229002153624,,,,,0.457922419460881,1.1156518971884457,False,0.5108820160366552
time_of_day,0-6,842,337,0.24192390524048815,,,,,0.457922419460881,0.8740291208332125,False,0.4002375296912114
time_of_day,6-12,315,119,0.08542713567839195,,,,,0.457922419460881,0.8249820531227565,False,0.37777777777777777
dist1 (errors),summary_stats,471,,,136.7388535031847,4.0,9.0,41.0,,,False,
dist1 (population),summary_stats,846,,,156.1193853427896,4.0,9.0,102.25,,,False,
dist1_quartile,missing,2196,922,0.6618808327351041,,,,,0.457922419460881,0.9168677109199392,False,0.4198542805100182
dist1_quartile,Q4,313,160,0.11486001435750179,,,,,0.457922419460881,1.116307232190161,False,0.5111821086261981
dist1_quartile,Q1,210,107,0.07681263460157932,,,,,0.457922419460881,1.112685878371449,False,0.5095238095238095
dist1_quartile,Q2,189,119,0.08542713567839195,,,,,0.457922419460881,1.3749700885379277,False,0.6296296296296297
dist1_quartile,Q3,134,85,0.061019382627422826,,,,,0.457922419460881,1.3852310593479122,False,0.6343283582089553
month,2018-04,2828,1330,0.9547738693467337,,,,,0.457922419460881,1.0270233771402983,False,0.47029702970297027
month,2018-03,183,53,0.03804737975592247,,,,,0.457922419460881,0.6324597225000882,False,0.2896174863387978
month,2018-05,31,10,0.007178750897343862,,,,,0.457922419460881,0.7044438783780654,False,0.3225806451612903
