dimension,bucket,population_count,error_count,pct_of_errors,mean,p25,p50,p75,overall_rate,ratio_vs_overall,flagged,rate_in_bucket
transaction_amt (errors),summary_stats,468,,,192.81802136752137,28.9125,94.187,225.0,,,False,
transaction_amt (population),summary_stats,85539,,,133.86392295911807,43.95,67.95,117.0,,,False,
transaction_amt_quartile,Q2,21885,53,0.11324786324786325,,,,,0.005471188580647424,0.4426369190933961,False,0.0024217500571167465
transaction_amt_quartile,Q1,21387,157,0.33547008547008544,,,,,0.005471188580647424,1.3417391705721065,False,0.007340908028241455
transaction_amt_quartile,Q3,21379,68,0.1452991452991453,,,,,0.005471188580647424,0.5813528972236114,False,0.0031806913326161185
transaction_amt_quartile,Q4,20888,190,0.405982905982906,,,,,0.005471188580647424,1.6625513115124373,True,0.009096131750287246
product_cd,W,70806,163,0.3482905982905983,,,,,0.005471188580647424,0.4207613689119493,False,0.0023020647967686354
product_cd,C,7975,224,0.47863247863247865,,,,,0.005471188580647424,5.133760951691986,True,0.028087774294670846
product_cd,R,3205,29,0.06196581196581197,,,,,0.005471188580647424,1.653820152806112,True,0.009048361934477379
product_cd,H,2210,42,0.08974358974358974,,,,,0.005471188580647424,3.4735642185868425,True,0.019004524886877826
product_cd,S,1343,10,0.021367521367521368,,,,,0.005471188580647424,1.3609504171678408,False,0.007446016381236039
card4,visa,55763,292,0.6239316239316239,,,,,0.005471188580647424,0.9570949765881889,False,0.005236447106504313
card4,mastercard,28209,147,0.3141025641025641,,,,,0.005471188580647424,0.9524626619436787,False,0.005211102839519303
card4,discover,841,24,0.05128205128205128,,,,,0.005471188580647424,5.21595170584469,True,0.028537455410225922
card4,american express,722,5,0.010683760683760684,,,,,0.005471188580647424,1.2657592868811705,False,0.006925207756232687
card4,,4,0,0.0,,,,,0.005471188580647424,0.0,False,0.0
card6,debit,68114,203,0.4337606837606838,,,,,0.005471188580647424,0.544725829171758,False,0.002980297736148222
card6,credit,17422,265,0.5662393162393162,,,,,0.005471188580647424,2.780136888519967,True,0.015210653197107106
card6,,2,0,0.0,,,,,0.005471188580647424,0.0,False,0.0
card6,debit or credit,1,0,0.0,,,,,0.005471188580647424,0.0,False,0.0
p_emaildomain,gmail.com,33514,209,0.4465811965811966,,,,,0.005471188580647424,1.1398254154788736,False,0.006236199797099719
p_emaildomain,yahoo.com,15372,35,0.07478632478632478,,,,,0.005471188580647424,0.4161558311148475,False,0.002276867030965392
p_emaildomain,,13713,55,0.11752136752136752,,,,,0.005471188580647424,0.7330752028301799,False,0.004010792678480275
p_emaildomain,hotmail.com,6054,85,0.18162393162393162,,,,,0.005471188580647424,2.566225551235462,True,0.014040303931285102
p_emaildomain,anonymous.com,4910,21,0.04487179487179487,,,,,0.005471188580647424,0.7817288109039636,False,0.004276985743380856
p_emaildomain,aol.com,4141,5,0.010683760683760684,,,,,0.005471188580647424,0.22069022099208044,False,0.001207437816952427
p_emaildomain,comcast.net,1059,24,0.05128205128205128,,,,,0.005471188580647424,4.1422241592213265,True,0.0226628895184136
p_emaildomain,icloud.com,961,2,0.004273504273504274,,,,,0.005471188580647424,0.3803863496891593,False,0.002081165452653486
p_emaildomain,outlook.com,682,12,0.02564102564102564,,,,,0.005471188580647424,3.2159936837356193,True,0.017595307917888565
p_emaildomain,att.net,644,0,0.0,,,,,0.005471188580647424,0.0,False,0.0
time_of_day,12-18,30355,127,0.27136752136752135,,,,,0.005471188580647424,0.7647012488966037,False,0.004183824740569922
time_of_day,18-24,29613,141,0.30128205128205127,,,,,0.005471188580647424,0.8702720219030622,False,0.004761422348292979
time_of_day,0-6,19965,174,0.3717948717948718,,,,,0.005471188580647424,1.5929357144233176,True,0.008715251690458302
time_of_day,6-12,5606,26,0.05555555555555555,,,,,0.005471188580647424,0.8476929480318705,False,0.00463788797716732
dist1 (errors),summary_stats,76,,,101.8157894736842,2.0,10.0,74.0,,,False,
dist1 (population),summary_stats,40181,,,98.7660834722879,3.0,8.0,22.0,,,False,
dist1_quartile,missing,45358,392,0.8376068376068376,,,,,0.005471188580647424,1.579612224570115,True,0.008642356364919088
dist1_quartile,Q1,12079,23,0.049145299145299144,,,,,0.005471188580647424,0.34802878910420926,False,0.0019041311366835003
dist1_quartile,Q4,9743,26,0.05555555555555555,,,,,0.005471188580647424,0.48775189024598853,False,0.002668582572103048
dist1_quartile,Q3,9420,18,0.038461538461538464,,,,,0.005471188580647424,0.3492528172464478,False,0.001910828025477707
dist1_quartile,Q2,8939,9,0.019230769230769232,,,,,0.005471188580647424,0.18402290739800528,False,0.001006824029533505
month,2018-04,80827,443,0.9465811965811965,,,,,0.005471188580647424,1.0017643729738697,False,0.005480841797914063
month,2018-03,3998,24,0.05128205128205128,,,,,0.005471188580647424,1.0972024473775348,False,0.006003001500750375
month,2018-05,714,1,0.002136752136752137,,,,,0.005471188580647424,0.2559882927529986,False,0.0014005602240896359
