feature,gain_importance,gain_rank,perm_importance_mean,perm_importance_std,perm_rank,rank_gap
V13,0.015877878,9,-0.002194660361635825,0.000364107691191084,419,410
V231,0.010952239,15,-0.001228431378009509,8.332392046331467e-05,418,403
V152,0.0053449958,19,-0.00012686903950445138,0.00017689526554047724,392,373
V66,0.004270027,25,-0.0001207069698825447,0.00012987314871424211,389,364
V273,0.0030970334,40,-0.0002600376868681753,8.22492151879665e-05,400,360
V115,0.0022676894,61,-0.00023660843786554864,0.00012412242014288384,399,338
V262,0.0038019654,28,-1.938420643832206e-06,2.4442637485268008e-05,350,322
V123,0.0018376266,79,-0.00016459525311611766,9.013668427266877e-05,395,316
V301,0.0016594661,96,-0.0006768484212426373,8.332612794373355e-05,412,316
V148,0.0015905553,100,-0.0006969422612877474,8.721523868389774e-05,413,313
V311,0.0013317086,114,-0.0007033686149289231,0.00014256614618627305,414,300
V178,0.0024701252,53,-8.636564039044004e-07,2.590969211713201e-06,349,296
V77,0.0017302098,88,-9.72823816941526e-05,0.00018641601467482002,384,296
V73,0.0013947253,106,-0.00022045922430826703,0.00011535890879109215,398,292
M2,0.001395006,105,-0.00010812950351567485,4.940129757855654e-05,387,282
V130,0.0012778431,121,-0.0002902650850264532,0.00019299031887660585,403,282
V81,0.0011898078,138,-0.0005043299593099348,0.00010543513009726922,409,271
V206,0.0011567648,148,-0.0010126783085831702,0.00016200410669478475,416,268
V285,0.0012201951,131,-0.00021978671223037426,0.0005279847834069748,397,266
V287,0.0011734795,146,-0.0006059021021364797,0.0001058088960217052,411,265
V215,0.0011112908,155,-0.0004544217137640638,0.00012590363528785988,408,253
V332,0.0011742449,145,-0.00016309585301836903,9.009905611852474e-05,394,249
V267,0.0010423738,166,-0.00026018938874037276,0.00016172563239867798,401,235
V19,0.0010274183,170,-0.0002725697170750663,0.00017363242010491693,402,232
V131,0.0012027147,135,-1.3437256714987633e-05,0.00012441829364771026,358,223
V128,0.0010121138,175,-0.0001593605975457102,0.00010691021307693037,393,218
V221,0.0010066994,176,-9.98848206592684e-05,6.132923312441869e-05,386,210
V109,0.000906693,197,-0.00034488041002478376,7.9191321891133e-05,406,209
V42,0.0011276567,154,-2.2090520007500557e-05,4.5603965655869486e-05,362,208
V30,0.010589272,16,2.112752449949795e-05,0.0007933417504142759,221,205
V18,0.00085258763,210,-0.0005233052010538697,4.198157417049402e-05,410,200
card1,0.00084723823,211,0.009033531834984421,0.0007871174590954224,20,191
V300,0.00091120374,195,-6.708749328198094e-05,2.432868719252464e-05,381,186
V283,0.004029636,26,5.169250154539729e-05,0.0004115497252915959,208,182
V169,0.00060122635,258,0.0015293673725673695,0.00011400658551662849,76,182
V277,0.0007233081,238,-0.0010363102278142743,0.00011170705158676968,417,179
V330,0.0028486373,46,1.3678676028228143e-05,5.838307251156709e-05,225,179
V96,0.00089610566,200,-4.434488458541219e-05,0.0001508189270876111,374,174
V270,0.00066760107,242,-0.0009348271367429328,0.0001078858558044105,415,173
V238,0.0009473362,188,-1.4877422009262898e-05,4.004194594908363e-05,360,172
dist1,0.0009467621,189,0.011314576634482144,0.00043386247410644483,17,172
D7,0.0075681745,17,0.00011763563032202162,0.00026772022549047936,188,171
card1_hist_std_amt,0.00081198494,214,0.004268172306330131,0.0009257931597446202,43,171
V147,0.028331857,7,0.00017638025902949606,0.00020214798236319092,177,170
V248,0.0034946525,34,6.257782462457673e-05,2.1623155483220425e-05,203,169
V140,0.00072526437,237,-0.0003253286178322767,3.7095387169243866e-05,405,168
p_emaildomain_freq,0.00084149156,212,-6.168463547941982e-05,0.00022888914461245872,379,167
V251,0.0026951618,48,4.706436729595698e-05,1.5386665952870124e-05,211,163
dist2,0.0006284069,251,0.0011743418135440997,0.00015158128400858832,88,163
M9,0.0007781906,222,0.0020812198063010377,0.0002982018267237645,66,156
V264,0.00042931084,278,0.000662728401647128,1.4501460372131481e-05,122,156
V335,0.00023415143,298,0.00042393883228982745,7.009979433918524e-05,142,156
V79,0.002294992,59,3.380193547718458e-05,4.7615361160432775e-05,214,155
V168,0.0030288866,41,9.858104765301246e-05,7.349246537099636e-05,193,152
V163,0.0007455556,230,-6.673481994075025e-05,2.03271912016907e-05,380,150
V56,0.00089797506,199,0.003360989445190643,0.0001973140838900159,50,149
addr1_te_txn_count,0.0009118256,194,0.003583155663133475,0.0010193109191489304,47,147
V299,0.0008116232,215,-1.5127826988459159e-05,7.280891783049133e-06,361,146
V60,0.00078486855,219,-2.7145668761607844e-05,2.968890123420297e-05,364,145
V181,0.0007448972,231,-5.096120242333857e-05,3.522395397920736e-05,375,144
amount_zscore_vs_card1_history,0.0008610112,208,0.002158420195634847,0.0004701766514330166,64,144
V289,0.0006278841,252,-0.00020105604878065675,0.0001281036767998706,396,144
V272,0.004869727,22,0.00021692552617930128,4.6724025069101785e-05,165,143
card1_hist_avg_amt,0.0010405926,167,0.006908130390754208,0.000723957395278782,25,142
V313,0.0008387675,213,0.0016655118284588434,0.0003846560259378503,73,140
V276,0.0007521234,229,-2.8639446616884888e-05,2.6393862833133754e-05,367,138
velocity_1h,0.00052893313,267,-0.0003021074335167628,0.00010950496925964157,404,137
V6,0.0007996549,216,0.001296690412504764,0.00017708474261247706,81,135
D11,0.0009924166,180,0.003993302263410647,0.0008280922872995144,46,134
V268,0.0006584167,244,0.000747147581385299,4.625645988561411e-05,110,134
V319,0.00074336125,232,-2.8104590910105197e-05,7.108562334428702e-05,366,134
V245,0.0007417282,233,0.0008746642822587081,0.00013953538596620188,99,134
V10,0.00062747416,253,-9.984481526605914e-05,3.7842549573206226e-05,385,132
velocity_24h,0.0010884759,160,0.004854001461861823,0.00034340379396573,34,126
V164,0.00043528402,277,0.00034073208174667524,2.5222635649804243e-05,152,125
V166,0.0003791203,289,0.00021706601135454973,6.609514038378151e-05,164,125
M3,0.0010498418,165,0.0043964207276883435,0.0003505866519575086,41,124
V218,0.00072588923,236,-1.3621730489699058e-05,2.7123524302423845e-05,359,123
D5,0.0007750513,223,0.0008713666450569258,0.00045505067435787133,100,123
V249,0.00042668154,279,0.00028265339242727894,1.9649158106396716e-05,157,122
V204,0.00042035023,280,0.00027635364774611924,2.3290697919195945e-05,158,122
V11,0.0004018423,282,0.00025887355850003904,0.0001731273896933094,160,122
addr1,0.0011993627,136,0.011408805350398588,0.0006502974872738885,16,120
V161,0.0006483144,245,-2.7364829176879103e-05,2.4467085843309435e-05,365,120
V55,0.0003830558,288,-0.0004434398915846294,5.5709716157407585e-05,407,119
V254,0.0005414988,264,-6.986443212875226e-05,3.222981131530595e-05,382,118
V199,0.00047685072,271,-0.00011065093014466232,1.518597313142062e-05,388,117
V101,0.0017922077,81,7.307943358945135e-05,2.4438557661566727e-05,197,116
V137,0.0013246012,118,3.596182489851163e-06,6.066880947411166e-05,232,114
card1_hist_txn_count,0.001147723,151,0.004657260785014561,0.000530417641107675,37,114
V219,0.0009104076,196,0.0012152902024040514,0.0002159921837359446,84,112
D15,0.0012040206,134,0.00725955547849344,0.0007782584115216603,24,110
V37,0.0004695741,272,0.00022072206740803013,9.48417602380179e-05,162,110
V315,0.0006297145,250,0.00043171578273768494,0.00016690293532193792,141,109
V16,0.0012487959,127,1.9107466363466054e-06,9.243966995827112e-06,236,109
D1,0.0012454982,128,0.009078448872850142,0.0009456553926627847,19,109
V83,0.0031548783,39,0.00039859980599946663,0.0002670479629814224,147,108
V224,0.00045099403,275,0.00020395502819684497,3.864838257517119e-05,168,107
V230,0.0003975349,283,-0.00012200392682388816,9.699798447117998e-05,390,107
V127,0.0006477519,246,0.00043556009033451915,0.00013725532108589697,139,107
V279,0.0012710503,122,7.1877465022684994e-06,3.548204494221018e-06,228,106
V202,0.0007805651,221,0.0007051034889106967,6.364420027505265e-05,116,105
V197,0.00032101772,294,0.00010847571788697996,1.1160775275031432e-05,190,104
V29,0.00033166478,293,0.00011067748086324158,0.00017140631147608354,189,104
V141,0.0012691236,124,1.1783079491711757e-05,1.1377145330720212e-05,226,102
V4,0.00040760904,281,0.00016224395617635555,0.00020723485486505227,180,101
V159,0.00034190083,291,-0.0001230918247275281,1.4409504201589677e-05,391,100
V112,0.00060404604,257,-1.140497164804355e-05,5.7618791898920126e-05,356,99
V233,0.0005370776,265,-2.3826942273807993e-05,2.812029883926678e-05,363,98
V306,0.0004653756,273,-4.018647403567499e-05,1.5722785298894007e-05,371,98
V144,0.00035177064,290,0.00010489601777179392,1.85819784197471e-05,192,98
V208,0.0006415023,249,0.0003233554316084186,0.00010136244749162246,153,96
V104,0.0004611264,274,-3.669055306136926e-05,7.112956903999032e-06,369,95
D4,0.0012299925,129,0.004594776892670271,0.000582505892517727,38,91
V92,0.0016595986,95,0.00012552669420803352,9.293604106433653e-05,186,91
V243,0.0032613706,37,0.0006124268928988541,9.283943924962339e-05,127,90
D14,0.0010376746,168,0.0014249000587179927,0.00043166172895227133,79,89
addr1_te_fraud_rate,0.001324939,116,0.006200590397154404,0.0006361979192174808,28,88
V63,0.0017586965,86,0.00018733607613976577,8.287710960017487e-05,173,87
V155,0.00039191011,285,-4.062675572001906e-05,1.0200252302554343e-05,372,87
V321,0.0019272205,74,0.00024119139638502097,0.00010521035738660324,161,87
