feature,gain_importance
V149,0.28517765
V258,0.106922306
V102,0.056353346
V70,0.033756472
V91,0.03127667
V156,0.027728692
C4,0.027184036
V147,0.022649659
C14,0.013979115
V317,0.012570207
V312,0.012008519
C1,0.009511101
V13,0.009369612
card1_te_fraud_rate,0.008700441
D7,0.00739194
V231,0.0069537577
V247,0.005420191
device_hist_fraud_rate,0.00508273
V217,0.0047673136
V237,0.004752293
V233,0.0042905165
V189,0.0042567
V283,0.0039758445
V296,0.0039728153
V205,0.0038248913
V45,0.003606933
V281,0.0035833204
C13,0.003451627
V67,0.0032929447
V165,0.0031040811
C6,0.0029882428
V219,0.002984388
device_type,0.0028208299
V200,0.002816538
V152,0.0027424747
V301,0.0026771212
V290,0.0026756725
V171,0.0026376348
V187,0.0025500339
V320,0.0025090848
V181,0.0024992519
V264,0.0024911454
V83,0.00248851
V16,0.0024534678
V99,0.0023910198
V163,0.0022459184
product_cd,0.0022302228
V133,0.0022056014
D2,0.0021379476
V84,0.0019769587
V62,0.0019239817
M5,0.0019118373
p_emaildomain,0.0018774755
V158,0.0018762694
V268,0.0017953267
V307,0.001789497
V26,0.0017023449
V49,0.0017009754
V33,0.0016890985
C11,0.001686696
V251,0.001676966
V227,0.0016713598
V54,0.0016402596
C10,0.0016330354
V256,0.001630876
transaction_amt,0.0016006071
V266,0.0015763482
V82,0.0015684249
V128,0.0015392537
C2,0.0015193777
C12,0.0014901435
V274,0.0014770161
V285,0.0014636321
V87,0.0014500726
V168,0.0014468707
V77,0.0014447808
D8,0.0014365243
V208,0.0014273706
C9,0.0014191094
V39,0.0014125385
M6,0.0014115641
V313,0.0014008173
M4,0.0013680013
D3,0.0013363749
V94,0.0013310804
V332,0.001324568
V280,0.0013184655
V136,0.0013176771
V338,0.0013112708
C5,0.0013085711
V51,0.001307418
V86,0.0013069276
V38,0.0013009787
V310,0.0012967024
V47,0.001288984
V311,0.0012869806
D12,0.0012765792
V232,0.0012658822
V222,0.0012485113
V164,0.001240405
V61,0.0012218049
addr1_te_fraud_rate,0.0012133296
C7,0.0012042645
V37,0.0011981367
D13,0.0011961076
V75,0.0011840336
