feature,perm_importance_mean,perm_importance_std
card1_te_fraud_rate,0.14843294981458016,0.0045359229652860945
C1,0.09045141699250862,0.004359301862526135
C14,0.04643027226767369,0.0018713644906611458
C13,0.041319178814388215,0.0014312410010250993
p_emaildomain,0.03395269457645385,0.00219615367409109
C11,0.02965948904116683,0.0015253685942648815
V205,0.027666452321550062,0.0008009820940997057
V102,0.021109119988939384,0.00153925846477874
transaction_amt,0.02101990479351932,0.0013712181081719532
C6,0.016685795307452733,0.0010076220174101201
device_hist_fraud_rate,0.0159622602337254,0.000879002400095778
D2,0.014295678531642698,0.0015421443671550933
C9,0.013537884516953924,0.001167498886154702
V149,0.012568867277947714,0.0006050046639051158
V258,0.0121915640637003,0.0009026688115964787
addr1,0.011408805350398588,0.0006502974872738885
dist1,0.011314576634482144,0.00043386247410644483
C2,0.010134546652060539,0.0006365644475099739
D1,0.009078448872850142,0.0009456553926627847
card1,0.009033531834984421,0.0007871174590954224
C10,0.008803552193418607,0.0006203878314185032
V317,0.007840331431717095,0.0006213613981953701
D8,0.007514807629689158,0.0006432027721978983
D15,0.00725955547849344,0.0007782584115216603
card1_hist_avg_amt,0.006908130390754208,0.000723957395278782
M6,0.006330702091027618,0.0006954459238005961
card2,0.006229542330194471,0.00035418107882732267
addr1_te_fraud_rate,0.006200590397154404,0.0006361979192174808
D3,0.006027306164124668,0.0007961972790504564
M5,0.005798820790180836,0.0007880612971516184
device_hist_txn_count,0.005453781138587743,0.0003879573721105339
C8,0.005331232754591131,0.00032238048058638486
M4,0.005158722991733422,0.00048541748441095073
velocity_24h,0.004854001461861823,0.00034340379396573
V53,0.004820919994141748,0.00040900896510808013
C4,0.004662049165253634,0.000682175929523618
card1_hist_txn_count,0.004657260785014561,0.000530417641107675
D4,0.004594776892670271,0.000582505892517727
V70,0.00447723731473274,0.001096854670493393
V310,0.004396591056860999,0.00030639340933946555
M3,0.0043964207276883435,0.0003505866519575086
V61,0.004381918648544414,0.0004862205532920949
card1_hist_std_amt,0.004268172306330131,0.0009257931597446202
V307,0.0041140034014918725,0.0003980775854951085
C7,0.004083691710863357,0.00031007690127583283
D11,0.003993302263410647,0.0008280922872995144
addr1_te_txn_count,0.003583155663133475,0.0010193109191489304
C12,0.0033666824389335438,0.0002576588118832223
V62,0.0033618188761548318,0.0006072482744718852
V56,0.003360989445190643,0.0001973140838900159
p_emaildomain_te_txn_count,0.0032945800813935166,0.0011929191660016803
D13,0.0031845754475091194,0.0004647979029458261
product_cd,0.0031622611364926835,0.0005125537697139353
