model,fold,train_size,val_size,val_pr_auc,fit_time_s
XGBoost,1,83659,83659,0.5970938548428211,90.56052374839783
XGBoost,2,83659,83659,0.6405910711561811,86.20685911178589
XGBoost,3,83659,83659,0.6429844497663163,95.35755228996277
XGBoost,4,83659,83659,0.5970844896204611,93.36632800102234
XGBoost,5,83659,83664,0.6057588350810511,96.51220679283142
LightGBM,1,83659,83659,0.610008241148998,105.62002325057983
LightGBM,2,83659,83659,0.6577915543026206,101.41764712333679
LightGBM,3,83659,83659,0.6480107895465289,86.19212031364441
LightGBM,4,83659,83659,0.6211196152716073,87.2695643901825
LightGBM,5,83659,83664,0.6209571322803128,87.4024395942688
